%time,field.boxes0.header.seq,field.boxes0.header.stamp,field.boxes0.header.frame_id,field.boxes0.pose.position.x,field.boxes0.pose.position.y,field.boxes0.pose.position.z,field.boxes0.pose.orientation.x,field.boxes0.pose.orientation.y,field.boxes0.pose.orientation.z,field.boxes0.pose.orientation.w,field.boxes0.scale.x,field.boxes0.scale.y,field.boxes0.scale.z,field.boxes0.id,field.boxes0.pdf,field.boxes1.header.seq,field.boxes1.header.stamp,field.boxes1.header.frame_id,field.boxes1.pose.position.x,field.boxes1.pose.position.y,field.boxes1.pose.position.z,field.boxes1.pose.orientation.x,field.boxes1.pose.orientation.y,field.boxes1.pose.orientation.z,field.boxes1.pose.orientation.w,field.boxes1.scale.x,field.boxes1.scale.y,field.boxes1.scale.z,field.boxes1.id,field.boxes1.pdf,field.boxes2.header.seq,field.boxes2.header.stamp,field.boxes2.header.frame_id,field.boxes2.pose.position.x,field.boxes2.pose.position.y,field.boxes2.pose.position.z,field.boxes2.pose.orientation.x,field.boxes2.pose.orientation.y,field.boxes2.pose.orientation.z,field.boxes2.pose.orientation.w,field.boxes2.scale.x,field.boxes2.scale.y,field.boxes2.scale.z,field.boxes2.id,field.boxes2.pdf,field.boxes3.header.seq,field.boxes3.header.stamp,field.boxes3.header.frame_id,field.boxes3.pose.position.x,field.boxes3.pose.position.y,field.boxes3.pose.position.z,field.boxes3.pose.orientation.x,field.boxes3.pose.orientation.y,field.boxes3.pose.orientation.z,field.boxes3.pose.orientation.w,field.boxes3.scale.x,field.boxes3.scale.y,field.boxes3.scale.z,field.boxes3.id,field.boxes3.pdf,field.boxes4.header.seq,field.boxes4.header.stamp,field.boxes4.header.frame_id,field.boxes4.pose.position.x,field.boxes4.pose.position.y,field.boxes4.pose.position.z,field.boxes4.pose.orientation.x,field.boxes4.pose.orientation.y,field.boxes4.pose.orientation.z,field.boxes4.pose.orientation.w,field.boxes4.scale.x,field.boxes4.scale.y,field.boxes4.scale.z,field.boxes4.id,field.boxes4.pdf,field.boxes5.header.seq,field.boxes5.header.stamp,field.boxes5.header.frame_id,field.boxes5.pose.position.x,field.boxes5.pose.position.y,field.boxes5.pose.position.z,field.boxes5.pose.orientation.x,field.boxes5.pose.orientation.y,field.boxes5.pose.orientation.z,field.boxes5.pose.orientation.w,field.boxes5.scale.x,field.boxes5.scale.y,field.boxes5.scale.z,field.boxes5.id,field.boxes5.pdf,field.boxes6.header.seq,field.boxes6.header.stamp,field.boxes6.header.frame_id,field.boxes6.pose.position.x,field.boxes6.pose.position.y,field.boxes6.pose.position.z,field.boxes6.pose.orientation.x,field.boxes6.pose.orientation.y,field.boxes6.pose.orientation.z,field.boxes6.pose.orientation.w,field.boxes6.scale.x,field.boxes6.scale.y,field.boxes6.scale.z,field.boxes6.id,field.boxes6.pdf,field.boxes7.header.seq,field.boxes7.header.stamp,field.boxes7.header.frame_id,field.boxes7.pose.position.x,field.boxes7.pose.position.y,field.boxes7.pose.position.z,field.boxes7.pose.orientation.x,field.boxes7.pose.orientation.y,field.boxes7.pose.orientation.z,field.boxes7.pose.orientation.w,field.boxes7.scale.x,field.boxes7.scale.y,field.boxes7.scale.z,field.boxes7.id,field.boxes7.pdf,field.boxes8.header.seq,field.boxes8.header.stamp,field.boxes8.header.frame_id,field.boxes8.pose.position.x,field.boxes8.pose.position.y,field.boxes8.pose.position.z,field.boxes8.pose.orientation.x,field.boxes8.pose.orientation.y,field.boxes8.pose.orientation.z,field.boxes8.pose.orientation.w,field.boxes8.scale.x,field.boxes8.scale.y,field.boxes8.scale.z,field.boxes8.id,field.boxes8.pdf,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.buttons0,field.buttons1,field.buttons2,field.buttons3,intersection_length,vacuum,desired_box
0.0,0,1735643777088230371,map,0.9854042953941966,-0.2207152024622253,0.0206295477200335,0.4790176633745112,-0.508273333903018,0.5181944371099508,-0.4936342994227972,0.0,0.0,0.0,1,0.1111111119389534,0,1735643777088253974,map,0.9874401167633042,-0.2497872114157829,0.1481599118521136,-0.5046785550313764,0.5096851147259279,-0.4934207635764885,0.4919924694442533,0.0,0.0,0.0,16,0.1111111119389534,0,1735643777088270664,map,0.9893747006894158,0.0571309410715435,0.0249990627200228,-0.4999083845271145,0.4832797235950152,-0.4878655845236149,0.5277494550246811,0.0,0.0,0.0,17,0.1111111119389534,0,1735643777088284730,map,1.003800367179485,-0.2540663609403367,0.2365321354963624,-0.4529881476420557,0.4492338914672066,-0.534589961020002,0.554260067504129,0.0,0.0,0.0,121,0.1111111119389534,0,1735643777088297367,map,1.0143516785227866,0.208880727633355,0.2419607313950791,-0.510124734097353,0.4909473607690725,-0.4889470474220118,0.5095824069110744,0.0,0.0,0.0,122,0.1111111119389534,0,1735643777088310956,map,1.0144889491612876,0.212869464784429,0.1435139549439409,-0.5020284282599142,0.4979838028956699,-0.4702710779328315,0.5280385426579572,0.0,0.0,0.0,124,0.1111111119389534,0,1735643777088322877,map,0.991457800044732,-0.0265950009347599,0.242299441348385,-0.4515403188200192,0.4806046828667592,-0.5353120626739495,0.5277987067454963,0.0,0.0,0.0,125,0.1111111119389534,0,1735643777088343858,map,1.0109337537123415,-0.0177502578177679,0.1441378347124508,0.5152991635429891,-0.5079781665928319,0.4875100288100131,-0.4886296410642124,0.0,0.0,0.0,126,0.1111111119389534,0,1735644242188269615,map,0.9857542509325448,0.3390412827972336,0.0232250040820831,-0.5023196452766442,0.4938717071870578,-0.4780985556171108,0.5245831506311649,0.0,0.0,0.0,0,0.1111111119389534,0.9332641734072415,-0.254456223945531,0.2592974796763282,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,,126
0.100728092,0,1735643777088230371,map,0.9827291256799304,-0.220369188522585,0.0219066505063685,-0.5010724383485936,0.5063211879824718,-0.4938511670725525,0.4986745340485027,0.0,0.0,0.0,1,0.0,0,1735643777088253974,map,0.9823601232237666,-0.2487783690205579,0.1487133134613388,0.5419870169607502,-0.5260269436777656,0.4416410374828107,-0.4842508874355553,0.0,0.0,0.0,16,0.0,0,1735643777088270664,map,0.9800389485977128,0.0544732565995026,0.0287192131794845,0.7738532452378771,-0.4490854717919708,0.2130617208060518,-0.3925278295705328,0.0,0.0,0.0,17,0.0,0,1735643777088284730,map,1.007747167338779,-0.2545984917699475,0.2367753214093544,-0.3964154882464831,0.6220994626854184,-0.5543251211032624,0.3854486727421303,0.0,0.0,0.0,121,0.0,0,1735643777088297367,map,1.0144660049985377,0.2086687313823403,0.2422695476676025,-0.5108400775390449,0.4935265702602637,-0.4892376698636428,0.5060834338460775,0.0,0.0,0.0,122,0.0,0,1735643777088310956,map,1.0155078967563202,0.2127237571070508,0.1434397969918425,-0.5053456560670503,0.5048224989311731,-0.4609471773582284,0.526600144466872,0.0,0.0,0.0,124,0.0,0,1735643777088322877,map,1.0015946407333018,-0.0255700296596517,0.2423246219924305,-0.6076945140161407,0.4148552048324389,-0.3745578029359966,0.5641887883659877,0.0,0.0,0.0,125,0.0,0,1735643777088343858,map,1.0022819178873488,-0.0191843043807754,0.1453240363288176,0.6589376150697203,-0.4892222819562378,0.3533299526797397,-0.4490219625175296,0.0,0.0,0.0,126,0.0,0,1735644242188269615,map,0.981987918725438,0.3355253258494896,0.024898427839918,-0.5161987832839445,0.4995974284037501,-0.4733317927862116,0.5098021573182347,0.0,0.0,0.0,0,0.0,0.9351185535063946,-0.2265749080746625,0.2255889063612419,1.0,3.4387255521349253e-06,5.170255728913892e-05,-6.2508507526338e-05,0.0,0.0,0.0,5.170255728913892e-05,0.0007773677746911,-0.0009398393801542,0.0,0.0,0.0,-6.2508507526338e-05,-0.0009398393801542,0.0011362679149385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,2,,126
0.199508808,0,1735643777088230371,map,0.9810572984783862,-0.2197280861466665,0.0237677777339632,-0.5250212338809175,0.7272279686159152,-0.3563672487924438,0.2617146721623244,0.0,0.0,0.0,1,2.106148144775944e-07,0,1735643777088253974,map,0.992782869317178,-0.2504633179917037,0.148206322034793,-0.5056685617349213,0.5082667093979409,-0.4915906705388608,0.4942700379649551,0.0,0.0,0.0,16,0.0579505003988742,0,1735643777088270664,map,0.987462245747005,0.0561185629307753,0.0270522227732116,0.7719640575327746,-0.453548655130375,0.2173152746318084,-0.3887662314536401,0.0,0.0,0.0,17,3.361258500372944e-19,0,1735643777088284730,map,1.0092288860480754,-0.255042340868273,0.2371510706434548,-0.5011964666365764,0.53312825666562,-0.4750507293073157,0.4887772175135372,0.0,0.0,0.0,121,0.4880918860435486,0,1735643777088297367,map,1.0159851911084803,0.2094065405092781,0.2429268570375778,-0.512182030491387,0.4960788771028804,-0.4904658864065342,0.5010174943108463,0.0,0.0,0.0,122,2.9800355501948157e-16,0,1735643777088310956,map,1.0134036104682995,0.2113910232485032,0.144285236585216,-0.4937701457939378,0.5017253155469167,-0.4780541875237009,0.5252874876227636,0.0,0.0,0.0,124,4.334336037872563e-22,0,1735643777088322877,map,1.0071497371381817,-0.0250264857609292,0.2427978713319733,0.5753796605039829,-0.504956146296589,0.4275891291777605,-0.4807546912975719,0.0,0.0,0.0,125,0.0015744502888992,0,1735643777088343858,map,0.998250121208038,-0.0198437570299481,0.1462387885574007,0.496728131347836,-0.4964871419927433,0.5069825040964783,-0.4997303491920711,0.0,0.0,0.0,126,5.897526875742187e-07,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,2.802596928649634e-45,0.9330082754467274,-0.1921339218739848,0.249939176739549,1.0,1.119903067964943e-05,-0.000110891743539,-0.0001444440210035,0.0,0.0,0.0,-0.000110891743539,0.0028906082440779,0.0010507350653945,0.0,0.0,0.0,-0.0001444440210035,0.0010507350653945,0.0019433832782856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,3,,126
0.30072908,0,1735643777088230371,map,0.9768142352810704,-0.2188062516908587,0.0243667466567569,-0.4857051524466316,0.4913951331135652,-0.5107862942365959,0.5115844892675522,0.0,0.0,0.0,1,3.90976495623363e-08,0,1735643777088253974,map,0.9968258066940636,-0.2511810005128219,0.1474777209499765,-0.5058934379352625,0.5103084172097224,-0.4910941279884728,0.4924263459992675,0.0,0.0,0.0,16,0.0193826090544462,0,1735643777088270664,map,0.9924890457604664,0.0583966224412798,0.0248203597199654,-0.5048595087979201,0.5029980324697371,-0.4903971264580112,0.5016178964805996,0.0,0.0,0.0,17,5.957042498172527e-11,0,1735643777088284730,map,1.0121142851584406,-0.2554516985212984,0.2372034058481607,-0.4858173166449806,0.487453015908895,-0.495361865730514,0.5300827427007765,0.0,0.0,0.0,121,0.4372903704643249,0,1735643777088297367,map,1.0174066497931618,0.2109659297654203,0.2424138338866238,-0.5153217172541027,0.4868611158655245,-0.492986930783303,0.5043547042125393,0.0,0.0,0.0,122,2.3178945411928e-05,0,1735643777088310956,map,1.0120493289436043,0.2119459186197206,0.144309992931637,-0.4943731024391216,0.5025862136330171,-0.4741094330924582,0.5274680833031451,0.0,0.0,0.0,124,6.637895211270006e-08,0,1735643777088322877,map,1.003838850175483,-0.0243690349903391,0.2426023837727325,-0.5084044901361799,0.4998422155288086,-0.4896872969848829,0.501885430308813,0.0,0.0,0.0,125,0.246935099363327,0,1735643777088343858,map,0.993170046568279,-0.0197887625062495,0.1468011891887783,0.4607005696967232,-0.490174804688765,0.5485304088076987,-0.4965863837669185,0.0,0.0,0.0,126,0.0028668211307376,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,1.3340694473000099e-18,0.9326558770769436,-0.1541553550545833,0.2471820772070462,1.0,8.77182684281599e-06,-0.0001233195627559,-0.0001054182236108,0.0,0.0,0.0,-0.0001233195627559,0.0064950707960257,0.0004739192325772,0.0,0.0,0.0,-0.0001054182236108,0.0004739192325772,0.0014803422522106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,4,,126
0.399094113,0,1735643777088230371,map,0.9860225937030878,-0.2202295896733775,0.0214325389687382,-0.4905363283467046,0.5077557914857964,-0.4983626876798372,0.5031826689317662,0.0,0.0,0.0,1,5.444415407396264e-08,0,1735643777088253974,map,0.9797784437911204,-0.247827416233601,0.1503731176002772,-0.5096168595193322,0.4747735912516639,-0.4795069663536622,0.5338106057038944,0.0,0.0,0.0,16,0.0168486218899488,0,1735643777088270664,map,0.989628526976847,0.0577290525104128,0.0257991749469084,-0.4967404553738526,0.495218876348287,-0.4863747698716762,0.5210055352254821,0.0,0.0,0.0,17,6.735519377798482e-07,0,1735643777088284730,map,1.0015681826929244,-0.2531736077174638,0.2374096284546505,0.5438161999896836,-0.5317424397833427,0.4293248618437337,-0.4870257502072119,0.0,0.0,0.0,121,0.3412701189517975,0,1735643777088297367,map,1.0092434823355405,0.2068677167393346,0.2428092478008748,-0.5106414540725034,0.4931480933603363,-0.4893842153955136,0.5065109605127032,0.0,0.0,0.0,122,0.0006862063892185,0,1735643777088310956,map,1.0146498161978668,0.2133778044368574,0.143942347035775,-0.4961719319341139,0.5032579136286482,-0.4697739245402987,0.5290154498244019,0.0,0.0,0.0,124,0.0001976268104044,0,1735643777088322877,map,1.0087407452137689,-0.0234460912598211,0.2426495172570957,0.5086980193093162,-0.5030197989592496,0.4901894207542202,-0.4979073596427517,0.0,0.0,0.0,125,0.4954339563846588,0,1735643777088343858,map,0.9947412860787808,-0.0198259631809642,0.1467466215214858,-0.4618258308045536,0.4508467280627246,-0.5300899051637212,0.5499625643990106,0.0,0.0,0.0,126,0.0556498989462852,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,2.8923233252875486e-10,0.933007135028312,-0.1276088168055633,0.2362945411804317,1.0,7.510990067851316e-06,-6.135691963966687e-05,-9.963191328933788e-05,0.0,0.0,0.0,-6.135691963966687e-05,0.0080149314088472,-0.0007769701802106,0.0,0.0,0.0,-9.963191328933788e-05,-0.0007769701802106,0.0016584275646918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,5,,126
0.498557217,0,1735643777088230371,map,0.9756520661472352,-0.2182920152029037,0.0238954281154906,-0.4936637170610395,0.48923764859049,-0.4949221259041497,0.521531156259761,0.0,0.0,0.0,1,4.327770511736162e-06,0,1735643777088253974,map,0.9689924098475442,-0.2453883159014815,0.1505745725675633,-0.5096667317453122,0.4615555500983467,-0.470454862295671,0.5530628529089854,0.0,0.0,0.0,16,0.0248792357742786,0,1735643777088270664,map,0.9859833657426568,0.0571268452676127,0.0260815008785918,-0.487925386092366,0.4983067998784138,-0.4984807139004861,0.5149137099270245,0.0,0.0,0.0,17,0.0008951977360993,0,1735643777088284730,map,1.007287970316314,-0.2544886407734137,0.2361603072648845,-0.5291795807804743,0.513284693228213,-0.4503684628925903,0.5036626277721887,0.0,0.0,0.0,121,0.2378322035074234,0,1735643777088297367,map,1.0162227896302802,0.2104631309886658,0.241699991782601,-0.5114264849399739,0.4938345016627881,-0.4890112595881888,0.5054091644058125,0.0,0.0,0.0,122,0.0002509169280529,0,1735643777088310956,map,1.006282595590945,0.2092752251978806,0.1438783716887363,-0.4831093557982727,0.4956097869051483,-0.4807321525499781,0.5383984462911057,0.0,0.0,0.0,124,0.0023754439316689,0,1735643777088322877,map,1.0065978324940004,-0.0239578509401528,0.2416814366464197,0.5624841413005601,-0.5256777146957154,0.436981000730106,-0.4651044356470669,0.0,0.0,0.0,125,0.4638626873493194,0,1735643777088343858,map,1.005935910454984,-0.0178460234845258,0.1437484886676315,-0.4864178653440331,0.4884633161298714,-0.5194477990950541,0.5049507234224621,0.0,0.0,0.0,126,0.291094958782196,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,1.9713324945769277e-06,0.9338533223765956,-0.1093410705595013,0.2197386788143281,1.0,9.839323531851278e-06,2.6158912408964848e-05,-0.0001530734007783,0.0,0.0,0.0,2.6158912408964848e-05,0.0083476622719253,-0.002159666613119,0.0,0.0,0.0,-0.0001530734007783,-0.002159666613119,0.0027525058640033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,6,,126
0.59762205,0,1735643777088230371,map,0.9858499457504748,-0.2198775283318531,0.0203544192466459,0.4850191816387758,-0.5037785787796614,0.5154869073452171,-0.4952138784008993,0.0,0.0,0.0,1,0.0002108690678142,0,1735643777088253974,map,0.984841029682247,-0.2485796785210403,0.1482357604440808,-0.5070085770472795,0.4867230498183321,-0.4817462199462702,0.5234152798147131,0.0,0.0,0.0,16,0.0384210795164108,0,1735643777088270664,map,0.9899511353668554,0.057450663260962,0.0244748240931645,-0.4909789987569786,0.500411131585824,-0.5029661201292571,0.5055229017232671,0.0,0.0,0.0,17,0.0260762497782707,0,1735643777088284730,map,1.007158005852907,-0.25426502420672,0.23596305406239,-0.386505093452599,0.6548304325695036,-0.5492329870290659,0.3466324325206236,0.0,0.0,0.0,121,0.1849769502878189,0,1735643777088297367,map,1.0124403182200568,0.2080971173306463,0.2410345860121528,-0.5191913634943721,0.4917545637732437,-0.4833968806885181,0.5049210164190557,0.0,0.0,0.0,122,7.73099745856598e-05,0,1735643777088310956,map,1.0053657380693222,0.2085458213086606,0.1437294864348897,-0.4798846566952345,0.4982296726161072,-0.489292741856179,0.5311031183868218,0.0,0.0,0.0,124,0.0013439391041174,0,1735643777088322877,map,0.9924525677466876,-0.026529871283213,0.2413227090660986,-0.4721740780960623,0.5309186031141426,-0.5248563083468856,0.4687247939142328,0.0,0.0,0.0,125,0.3894282281398773,0,1735643777088343858,map,1.007972972345311,-0.0180187079597467,0.1430379273696322,-0.507860125576343,0.4992423878566971,-0.4925724628833898,0.5002074567873976,0.0,0.0,0.0,126,0.5669862031936646,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,5.281705853121821e-06,0.9350074992176968,-0.1000193794828378,0.200458821409733,1.0,1.6426450967649595e-05,8.697520468547667e-05,-0.0002647199615924,0.0,0.0,0.0,8.697520468547667e-05,0.0076765026373941,-0.0029294680596114,0.0,0.0,0.0,-0.0002647199615924,-0.0029294680596114,0.0045895681498234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,7,,126
0.699383062,0,1735643777088230371,map,0.9804915144191017,-0.2203459832929236,0.0216639657222488,-0.5115801909050671,0.7553204896575316,-0.3368931953817424,0.2329799156204692,0.0,0.0,0.0,1,0.0029894090257585,0,1735643777088253974,map,0.9927602888584556,-0.2519209796608659,0.1459846987514376,-0.5055611692153327,0.5075050002077091,-0.4884003281055998,0.4983088384246675,0.0,0.0,0.0,16,0.0504451096057891,0,1735643777088270664,map,0.9898030083127656,0.0575720653635926,0.0233252105848973,-0.5057488701884043,0.5037006618694904,-0.4900106708853611,0.5003931114172819,0.0,0.0,0.0,17,0.0804143920540809,0,1735643777088284730,map,1.0083048392041891,-0.2563173623787112,0.2354841554203343,-0.3690768527824972,0.6429977263073581,-0.5694519466584417,0.3550502515851043,0.0,0.0,0.0,121,0.1400683224201202,0,1735643777088297367,map,1.0141980626615503,0.2103594156657348,0.2407422071283584,0.5134896678282636,-0.4979604798503429,0.4901098293055677,-0.498152664109009,0.0,0.0,0.0,122,2.97683054668596e-05,0,1735643777088310956,map,1.0078567437474264,0.2105177812074528,0.1426226595936054,-0.4970428756328959,0.5039396209395078,-0.4738294186834021,0.5239073584328398,0.0,0.0,0.0,124,0.0004497401532717,0,1735643777088322877,map,0.9985017610216907,-0.0263754312790609,0.241069746011997,0.5296761167827209,-0.51725085030653,0.4691235704190079,-0.4814746564923969,0.0,0.0,0.0,125,0.3424124121665954,0,1735643777088343858,map,0.9907040236115114,-0.0211886469642835,0.1450847161575215,0.4760844683899664,-0.4926550257629097,0.5308939879500466,-0.4987847011556043,0.0,0.0,0.0,126,0.6683539152145386,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,1.3711387509829365e-06,0.9362179662365836,-0.0958362859830234,0.1814229081795171,1.0,2.462975742338502e-05,0.0001115477811289,-0.0003929263823703,0.0,0.0,0.0,0.0001115477811289,0.0068394277063172,-0.0031206875864344,0.0,0.0,0.0,-0.0003929263823703,-0.0031206875864344,0.0065524340786536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,8,,126
0.798152597,0,1735643777088230371,map,0.985010846229516,-0.2219564711203888,0.0195588200027629,-0.4911735314784438,0.5072512577511147,-0.500533819819626,0.50090979098205,0.0,0.0,0.0,1,0.0018158727325499,0,1735643777088253974,map,0.9789213431025768,-0.2495071715805036,0.1483636122236987,-0.5285782489977151,0.4990786623067394,-0.4633297877513475,0.5068047269895143,0.0,0.0,0.0,16,0.0455176495015621,0,1735643777088270664,map,0.9834665987575256,0.055059382277976,0.0258238689740419,-0.4918993767005347,0.502788119042353,-0.4996894080191554,0.5055191451022842,0.0,0.0,0.0,17,0.0817308202385902,0,1735643777088284730,map,1.0047080124792584,-0.2566485454334329,0.2358696939655385,-0.4858455214083625,0.4792572118279979,-0.4951321609633594,0.5376902430005996,0.0,0.0,0.0,121,0.106688492000103,0,1735643777088297367,map,1.0105859332732534,0.2083115994880691,0.241661448005867,-0.5073895859965898,0.4922129324216705,-0.4923793697201254,0.5077841996882942,0.0,0.0,0.0,122,8.31939723866526e-06,0,1735643777088310956,map,1.0009671646206686,0.2071697432419856,0.1439059429763386,-0.4792576684226067,0.5008718617884668,-0.4919344269261402,0.5267257207803049,0.0,0.0,0.0,124,0.0001962534879567,0,1735643777088322877,map,0.996702121106281,-0.0268193424855874,0.2418324982890791,-0.5034272325517155,0.4974243792954561,-0.4944003317321522,0.5046764511952079,0.0,0.0,0.0,125,0.2806965112686157,0,1735643777088343858,map,1.0000258861093267,-0.0202848932759726,0.1438694537380476,-0.5081372341302143,0.4678391780783744,-0.4864612059021436,0.5350500442927553,0.0,0.0,0.0,126,0.6480391621589661,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,2.8197044343869493e-07,0.9366183716712128,-0.093948031316116,0.1750192700023224,1.0,2.317571380631981e-05,0.0001052021226704,-0.0003697803076607,0.0,0.0,0.0,0.0001052021226704,0.0061080153400009,-0.0028706781186612,0.0,0.0,0.0,-0.0003697803076607,-0.0028706781186612,0.0061524385029275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,9,,126
0.901148601,0,1735643777088230371,map,0.9780512074345836,-0.2210723335926606,0.0233156480945042,-0.4921394507332163,0.5008916605031253,-0.4991291033305225,0.5077168932376575,0.0,0.0,0.0,1,0.0011604806641116,0,1735643777088253974,map,0.976582387271967,-0.249613044930689,0.150023724497621,-0.5210152405559503,0.4876865981112305,-0.4758227632952468,0.514098822271746,0.0,0.0,0.0,16,0.0319361090660095,0,1735643777088270664,map,0.9890560492375664,0.0563855481146874,0.0248142191316212,-0.501286031065711,0.4878852515479921,-0.4882262701468332,0.5218384860460669,0.0,0.0,0.0,17,0.0767224803566932,0,1735643777088284730,map,1.0043423581154345,-0.2574687350884872,0.2373339344658891,-0.490127088373367,0.4938051836603622,-0.4881761047260221,0.5268927486759803,0.0,0.0,0.0,121,0.0772552639245987,0,1735643777088297367,map,1.0070674983058507,0.2065190362295033,0.2428826721416734,-0.5046049257222879,0.4896627441218739,-0.4947164548329206,0.5107444520240899,0.0,0.0,0.0,122,3.0320791211124742e-06,0,1735643777088310956,map,0.9981579223881384,0.2056056083766879,0.1456362991351391,-0.4725936066450879,0.5007369085353859,-0.4976491002933325,0.5275065917747848,0.0,0.0,0.0,124,0.0001121609893743,0,1735643777088322877,map,0.9934429611119348,-0.0278182630550512,0.2430749523753094,-0.5016728290197818,0.5012391106243053,-0.4965638667025956,0.5005077950334152,0.0,0.0,0.0,125,0.2423531264066696,0,1735643777088343858,map,0.9962441535614242,-0.0210559279412446,0.1459119152871302,0.5020974913289884,-0.5061218271367467,0.5120123147481767,-0.4791473623459822,0.0,0.0,0.0,126,0.6671124696731567,0,1735644242188269615,map,0.9775219253062754,0.3321171411115535,0.0272327401753686,-0.5041073060469293,0.4907271918013494,-0.4826355942763124,0.521656525267748,0.0,0.0,0.0,0,1.112588918772417e-07,0.93683389772335,-0.0895106017222441,0.1708480586116725,1.0,2.127620573803689e-05,0.0001032893455414,-0.0003408933194075,0.0,0.0,0.0,0.0001032893455414,0.005674430838606,-0.0027501954185996,0.0,0.0,0.0,-0.0003408933194075,-0.0027501954185996,0.0056937856928241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,10,,126
